[0] "Aged Brie, -2, 1"
[1] "Aged Brie, -2, 2"
[2] "Aged Brie, -2, 3"
[3] "Aged Brie, -2, 50"
[4] "Aged Brie, -2, 50"
[5] "Aged Brie, -2, 51"
[6] "Aged Brie, -1, 1"
[7] "Aged Brie, -1, 2"
[8] "Aged Brie, -1, 3"
[9] "Aged Brie, -1, 50"
[10] "Aged Brie, -1, 50"
[11] "Aged Brie, -1, 51"
[12] "Aged Brie, 0, 0"
[13] "Aged Brie, 0, 1"
[14] "Aged Brie, 0, 2"
[15] "Aged Brie, 0, 50"
[16] "Aged Brie, 0, 50"
[17] "Aged Brie, 0, 51"
[18] "Aged Brie, 4, 0"
[19] "Aged Brie, 4, 1"
[20] "Aged Brie, 4, 2"
[21] "Aged Brie, 4, 50"
[22] "Aged Brie, 4, 50"
[23] "Aged Brie, 4, 51"
[24] "Aged Brie, 5, 0"
[25] "Aged Brie, 5, 1"
[26] "Aged Brie, 5, 2"
[27] "Aged Brie, 5, 50"
[28] "Aged Brie, 5, 50"
[29] "Aged Brie, 5, 51"
[30] "Aged Brie, 6, 0"
[31] "Aged Brie, 6, 1"
[32] "Aged Brie, 6, 2"
[33] "Aged Brie, 6, 50"
[34] "Aged Brie, 6, 50"
[35] "Aged Brie, 6, 51"
[36] "Aged Brie, 9, 0"
[37] "Aged Brie, 9, 1"
[38] "Aged Brie, 9, 2"
[39] "Aged Brie, 9, 50"
[40] "Aged Brie, 9, 50"
[41] "Aged Brie, 9, 51"
[42] "Aged Brie, 10, 0"
[43] "Aged Brie, 10, 1"
[44] "Aged Brie, 10, 2"
[45] "Aged Brie, 10, 50"
[46] "Aged Brie, 10, 50"
[47] "Aged Brie, 10, 51"
[48] "Aged Brie, 11, 0"
[49] "Aged Brie, 11, 1"
[50] "Aged Brie, 11, 2"
[51] "Aged Brie, 11, 50"
[52] "Aged Brie, 11, 50"
[53] "Aged Brie, 11, 51"
[54] "Backstage passes to a TAFKAL80ETC concert, -2, 0"
[55] "Backstage passes to a TAFKAL80ETC concert, -2, 0"
[56] "Backstage passes to a TAFKAL80ETC concert, -2, 0"
[57] "Backstage passes to a TAFKAL80ETC concert, -2, 0"
[58] "Backstage passes to a TAFKAL80ETC concert, -2, 0"
[59] "Backstage passes to a TAFKAL80ETC concert, -2, 0"
[60] "Backstage passes to a TAFKAL80ETC concert, -1, 0"
[61] "Backstage passes to a TAFKAL80ETC concert, -1, 0"
[62] "Backstage passes to a TAFKAL80ETC concert, -1, 0"
[63] "Backstage passes to a TAFKAL80ETC concert, -1, 0"
[64] "Backstage passes to a TAFKAL80ETC concert, -1, 0"
[65] "Backstage passes to a TAFKAL80ETC concert, -1, 0"
[66] "Backstage passes to a TAFKAL80ETC concert, 0, 2"
[67] "Backstage passes to a TAFKAL80ETC concert, 0, 3"
[68] "Backstage passes to a TAFKAL80ETC concert, 0, 4"
[69] "Backstage passes to a TAFKAL80ETC concert, 0, 50"
[70] "Backstage passes to a TAFKAL80ETC concert, 0, 50"
[71] "Backstage passes to a TAFKAL80ETC concert, 0, 51"
[72] "Backstage passes to a TAFKAL80ETC concert, 4, 2"
[73] "Backstage passes to a TAFKAL80ETC concert, 4, 3"
[74] "Backstage passes to a TAFKAL80ETC concert, 4, 4"
[75] "Backstage passes to a TAFKAL80ETC concert, 4, 50"
[76] "Backstage passes to a TAFKAL80ETC concert, 4, 50"
[77] "Backstage passes to a TAFKAL80ETC concert, 4, 51"
[78] "Backstage passes to a TAFKAL80ETC concert, 5, 1"
[79] "Backstage passes to a TAFKAL80ETC concert, 5, 2"
[80] "Backstage passes to a TAFKAL80ETC concert, 5, 3"
[81] "Backstage passes to a TAFKAL80ETC concert, 5, 50"
[82] "Backstage passes to a TAFKAL80ETC concert, 5, 50"
[83] "Backstage passes to a TAFKAL80ETC concert, 5, 51"
[84] "Backstage passes to a TAFKAL80ETC concert, 6, 1"
[85] "Backstage passes to a TAFKAL80ETC concert, 6, 2"
[86] "Backstage passes to a TAFKAL80ETC concert, 6, 3"
[87] "Backstage passes to a TAFKAL80ETC concert, 6, 50"
[88] "Backstage passes to a TAFKAL80ETC concert, 6, 50"
[89] "Backstage passes to a TAFKAL80ETC concert, 6, 51"
[90] "Backstage passes to a TAFKAL80ETC concert, 9, 1"
[91] "Backstage passes to a TAFKAL80ETC concert, 9, 2"
[92] "Backstage passes to a TAFKAL80ETC concert, 9, 3"
[93] "Backstage passes to a TAFKAL80ETC concert, 9, 50"
[94] "Backstage passes to a TAFKAL80ETC concert, 9, 50"
[95] "Backstage passes to a TAFKAL80ETC concert, 9, 51"
[96] "Backstage passes to a TAFKAL80ETC concert, 10, 0"
[97] "Backstage passes to a TAFKAL80ETC concert, 10, 1"
[98] "Backstage passes to a TAFKAL80ETC concert, 10, 2"
[99] "Backstage passes to a TAFKAL80ETC concert, 10, 50"
[100] "Backstage passes to a TAFKAL80ETC concert, 10, 50"
[101] "Backstage passes to a TAFKAL80ETC concert, 10, 51"
[102] "Backstage passes to a TAFKAL80ETC concert, 11, 0"
[103] "Backstage passes to a TAFKAL80ETC concert, 11, 1"
[104] "Backstage passes to a TAFKAL80ETC concert, 11, 2"
[105] "Backstage passes to a TAFKAL80ETC concert, 11, 50"
[106] "Backstage passes to a TAFKAL80ETC concert, 11, 50"
[107] "Backstage passes to a TAFKAL80ETC concert, 11, 51"
[108] "Sulfuras, Hand of Ragnaros, -1, -1"
[109] "Sulfuras, Hand of Ragnaros, -1, 0"
[110] "Sulfuras, Hand of Ragnaros, -1, 1"
[111] "Sulfuras, Hand of Ragnaros, -1, 49"
[112] "Sulfuras, Hand of Ragnaros, -1, 50"
[113] "Sulfuras, Hand of Ragnaros, -1, 51"
[114] "Sulfuras, Hand of Ragnaros, 0, -1"
[115] "Sulfuras, Hand of Ragnaros, 0, 0"
[116] "Sulfuras, Hand of Ragnaros, 0, 1"
[117] "Sulfuras, Hand of Ragnaros, 0, 49"
[118] "Sulfuras, Hand of Ragnaros, 0, 50"
[119] "Sulfuras, Hand of Ragnaros, 0, 51"
[120] "Sulfuras, Hand of Ragnaros, 1, -1"
[121] "Sulfuras, Hand of Ragnaros, 1, 0"
[122] "Sulfuras, Hand of Ragnaros, 1, 1"
[123] "Sulfuras, Hand of Ragnaros, 1, 49"
[124] "Sulfuras, Hand of Ragnaros, 1, 50"
[125] "Sulfuras, Hand of Ragnaros, 1, 51"
[126] "Sulfuras, Hand of Ragnaros, 5, -1"
[127] "Sulfuras, Hand of Ragnaros, 5, 0"
[128] "Sulfuras, Hand of Ragnaros, 5, 1"
[129] "Sulfuras, Hand of Ragnaros, 5, 49"
[130] "Sulfuras, Hand of Ragnaros, 5, 50"
[131] "Sulfuras, Hand of Ragnaros, 5, 51"
[132] "Sulfuras, Hand of Ragnaros, 6, -1"
[133] "Sulfuras, Hand of Ragnaros, 6, 0"
[134] "Sulfuras, Hand of Ragnaros, 6, 1"
[135] "Sulfuras, Hand of Ragnaros, 6, 49"
[136] "Sulfuras, Hand of Ragnaros, 6, 50"
[137] "Sulfuras, Hand of Ragnaros, 6, 51"
[138] "Sulfuras, Hand of Ragnaros, 7, -1"
[139] "Sulfuras, Hand of Ragnaros, 7, 0"
[140] "Sulfuras, Hand of Ragnaros, 7, 1"
[141] "Sulfuras, Hand of Ragnaros, 7, 49"
[142] "Sulfuras, Hand of Ragnaros, 7, 50"
[143] "Sulfuras, Hand of Ragnaros, 7, 51"
[144] "Sulfuras, Hand of Ragnaros, 10, -1"
[145] "Sulfuras, Hand of Ragnaros, 10, 0"
[146] "Sulfuras, Hand of Ragnaros, 10, 1"
[147] "Sulfuras, Hand of Ragnaros, 10, 49"
[148] "Sulfuras, Hand of Ragnaros, 10, 50"
[149] "Sulfuras, Hand of Ragnaros, 10, 51"
[150] "Sulfuras, Hand of Ragnaros, 11, -1"
[151] "Sulfuras, Hand of Ragnaros, 11, 0"
[152] "Sulfuras, Hand of Ragnaros, 11, 1"
[153] "Sulfuras, Hand of Ragnaros, 11, 49"
[154] "Sulfuras, Hand of Ragnaros, 11, 50"
[155] "Sulfuras, Hand of Ragnaros, 11, 51"
[156] "Sulfuras, Hand of Ragnaros, 12, -1"
[157] "Sulfuras, Hand of Ragnaros, 12, 0"
[158] "Sulfuras, Hand of Ragnaros, 12, 1"
[159] "Sulfuras, Hand of Ragnaros, 12, 49"
[160] "Sulfuras, Hand of Ragnaros, 12, 50"
[161] "Sulfuras, Hand of Ragnaros, 12, 51"
[162] "Foo, -2, -1"
[163] "Foo, -2, 0"
[164] "Foo, -2, 0"
[165] "Foo, -2, 47"
[166] "Foo, -2, 48"
[167] "Foo, -2, 49"
[168] "Foo, -1, -1"
[169] "Foo, -1, 0"
[170] "Foo, -1, 0"
[171] "Foo, -1, 47"
[172] "Foo, -1, 48"
[173] "Foo, -1, 49"
[174] "Foo, 0, -1"
[175] "Foo, 0, 0"
[176] "Foo, 0, 0"
[177] "Foo, 0, 48"
[178] "Foo, 0, 49"
[179] "Foo, 0, 50"
[180] "Foo, 4, -1"
[181] "Foo, 4, 0"
[182] "Foo, 4, 0"
[183] "Foo, 4, 48"
[184] "Foo, 4, 49"
[185] "Foo, 4, 50"
[186] "Foo, 5, -1"
[187] "Foo, 5, 0"
[188] "Foo, 5, 0"
[189] "Foo, 5, 48"
[190] "Foo, 5, 49"
[191] "Foo, 5, 50"
[192] "Foo, 6, -1"
[193] "Foo, 6, 0"
[194] "Foo, 6, 0"
[195] "Foo, 6, 48"
[196] "Foo, 6, 49"
[197] "Foo, 6, 50"
[198] "Foo, 9, -1"
[199] "Foo, 9, 0"
[200] "Foo, 9, 0"
[201] "Foo, 9, 48"
[202] "Foo, 9, 49"
[203] "Foo, 9, 50"
[204] "Foo, 10, -1"
[205] "Foo, 10, 0"
[206] "Foo, 10, 0"
[207] "Foo, 10, 48"
[208] "Foo, 10, 49"
[209] "Foo, 10, 50"
[210] "Foo, 11, -1"
[211] "Foo, 11, 0"
[212] "Foo, 11, 0"
[213] "Foo, 11, 48"
[214] "Foo, 11, 49"
[215] "Foo, 11, 50"
